title,location,Posted_On,Deadline
﻿Request for Proposal: Preparation of Showcase Energy Efficient Models,Lalitpur,"13 Dec, 2023","24 Dec, 2023"
﻿Invitation for Bids: Construction of School Building & Toilet,Mahottari,"14 Dec, 2023","03 Jan, 2024"
"﻿﻿﻿Request for Proposal (RFP) – CSA Training facilitator, KIRDARC NRL project for Jumla District",Jumla,"13 Dec, 2023","19 Dec, 2023"
Various Positions,Baglung,"13 Dec, 2023","19 Dec, 2023"
"﻿Request for Proposal (RFP) – End line Evaluation Study, Nepal READS project",Kailali,"12 Dec, 2023","25 Dec, 2023"
Digital Marketing and Communication Officer,Kathmandu,"12 Dec, 2023","18 Dec, 2023"
सर्वोत्तम पिठोको दरभाउ पत्र आह्वान सम्बन्धि सूचना,Bajhang,"12 Dec, 2023","14 Dec, 2023"
प्यारालिगल (Paralegal),Kathmandu,"12 Dec, 2023","19 Dec, 2023"
Communication Manager,Lalitpur,"12 Dec, 2023","22 Dec, 2023"
Communication Information Technology and Documentation (CITD) Officer,Lalitpur,"11 Dec, 2023","24 Dec, 2023"
Call for Expression of Interest (EoI) for Vendor Enlistment in Roster,Kathmandu,"11 Dec, 2023","25 Dec, 2023"
Various Positions,Kathmandu,"11 Dec, 2023","10 Jan, 2024"
Various Positions,Kathmandu,"11 Dec, 2023","17 Dec, 2023"
﻿Country Director,Kathmandu,"08 Dec, 2023","17 Dec, 2023"
TRAINEE – Social Media Management,Lalitpur,"08 Dec, 2023","21 Dec, 2023"
Saathi Teachers Programme Coordinator,Kathmandu,"03 Dec, 2023","15 Dec, 2023"
Invitation for Sealed Quotation for the Supply and Installation of Solar PV System,Lalitpur,"08 Dec, 2023","22 Dec, 2023"
Finance and Compliance Manager,Birendranagar Surkhet,"08 Dec, 2023","07 Jan, 2024"
Terms of Reference (TOR) for Positive Parenting Skill Training to Partner NGO,Lalitpur,"07 Dec, 2023","14 Dec, 2023"
Infrastructure Engineer,Kathmandu,"07 Dec, 2023","15 Dec, 2023"
﻿Terms of Reference  For Digitalization & Translation of Hygiene Promotion Package,Lalitpur,"07 Dec, 2023","25 Dec, 2023"
﻿INVITATION FOR BIDS for Supply of Stationery,Doti,"06 Dec, 2023","25 Dec, 2023"
प्रोजेक्ट भविष्य! (PROJECT FUTURE!),Kathmandu,"06 Dec, 2023","15 Dec, 2023"
Sales Executive,Kathmandu,"06 Dec, 2023","06 Jan, 2024"
"Research Assistant (Monitoring, Evaluation Learning, MEL)",Kathmandu,"05 Dec, 2023","31 Dec, 2023"
Business Development Officer,Kathmandu,"05 Dec, 2023","31 Dec, 2023"
"1. Qualitative Research Officer (Central Office, Lalitpur) 2. Implementation Research Coordinator (Pokhara)",Pokhara,"04 Dec, 2023","15 Dec, 2023"
EOI call to Provide different Services,Lalitpur,"05 Dec, 2023","20 Dec, 2023"
﻿Monitoring and Evaluation Officer,Lalitpur,"04 Dec, 2023","15 Dec, 2023"
﻿﻿Travel Content Writers Wanted,Kathmandu,"04 Dec, 2023","03 Jan, 2024"
Communication and Documentation Officer,Lalitpur,"04 Dec, 2023","15 Dec, 2023"
﻿Communication Officer,Lalitpur,"03 Dec, 2023","24 Dec, 2023"
Engineering Manager,Kathmandu,"01 Dec, 2023","31 Dec, 2023"
﻿Mid-Senior Software Engineer - Java,Kathmandu,"01 Dec, 2023","31 Dec, 2023"
Administration and Logistics Management Specialist,Lalitpur,"30 Nov, 2023","29 Dec, 2023"
QA Automation Engineer,Kathmandu,"29 Nov, 2023","28 Dec, 2023"
﻿Dot Net Developer,Kathmandu,"29 Nov, 2023","28 Dec, 2023"
﻿Quality Assurance (QA) Engineer,Kathmandu,"29 Nov, 2023","28 Dec, 2023"
﻿Mid- Senior level .Net developer,Kathmandu,"29 Nov, 2023","28 Dec, 2023"
Senior Accountant,"New Baneshwor, Kathmandu","28 Nov, 2023","27 Dec, 2023"
Junior Level (﻿Saathi Teachers),Tanahun,"28 Nov, 2023","28 Dec, 2023"
Deputy Chief of Party (DCOP),Kathmandu,"26 Nov, 2023","18 Dec, 2023"
﻿Sr. Software Engineer- ETL,Kathmandu,"24 Nov, 2023","23 Dec, 2023"
Python Data Engineer,Kathmandu,"24 Nov, 2023","23 Dec, 2023"
﻿Senior Software Engineer,Kathmandu,"24 Nov, 2023","23 Dec, 2023"
﻿Dot Net Developer (Data),Kathmandu,"24 Nov, 2023","23 Dec, 2023"
Video Game Player & Game Content Creator,Kathmandu,"22 Nov, 2023","21 Dec, 2023"
Enrichment Coordinator- Children's Home,Birendranagar Surkhet,"22 Nov, 2023","21 Dec, 2023"
cook,Kathmandu,"21 Nov, 2023","15 Dec, 2023"
"Translator, Interpreter, Bridge Engineer, Civil Engineer, Highway Engineer, QA/QC, Geologist",Terai Region,"20 Nov, 2023","20 Dec, 2023"
Market Representatives (MR)/ Office Assistant,Kathmandu,"19 Nov, 2023","18 Dec, 2023"
USAID Early Grade Learning - Multiple Positions 3,,"17 Nov, 2023","18 Dec, 2023"
Wait Staff,Other - Specify,"16 Nov, 2023","16 Dec, 2023"
