title,location,Posted_On,Deadline
Various Positions,Gandaki Province,"on 26 Dec, 2023","06 Jan, 2024"
Teachers,Outside Nepal,"on 26 Dec, 2023","24 Jan, 2024"
Project Engineer/Architect,Lalitpur,"on 26 Dec, 2023","08 Jan, 2024"
Electrical Engineer,Kathmandu,"on 26 Dec, 2023","31 Dec, 2023"
.Net Developer,Lalitpur,"on 25 Dec, 2023","24 Jan, 2024"
﻿Terms of Reference (ToR)-Recruitment Process and Employee Outsourcing Agency,Lalitpur,"on 25 Dec, 2023","12 Jan, 2024"
﻿REQUEST FOR PROPOSAL,Kathmandu,"on 22 Dec, 2023","04 Jan, 2024"
शिलबन्दी बोलपत्र आह्वानको सूचना,Rautahat,"on 22 Dec, 2023","28 Dec, 2023"
﻿Research Officer,Kathmandu,"on 22 Dec, 2023","07 Jan, 2024"
﻿REQUEST FOR PROPOSAL,Lalitpur,"on 22 Dec, 2023","27 Dec, 2023"
﻿REQUEST FOR PROPOSAL:  CONSULTANT TO LEAD – VALUE FOR MONEY ASSESSMENT FOR DISABILITY INCLUSION IN SIKAI PROJECT,Lalitpur,"on 22 Dec, 2023","02 Jan, 2024"
Driver,Kathmandu,"on 23 Dec, 2023","06 Jan, 2024"
Payment Manager (English + Hindi/ Nepali),Kathmandu,"on 21 Dec, 2023","20 Jan, 2024"
Supply Chain Management (SCM) & Admin Officer,Kathmandu,"on 21 Dec, 2023","28 Dec, 2023"
﻿सूचि दर्ता गर्ने सम्बन्धी सूचना,Kathmandu,"on 21 Dec, 2023","10 Jan, 2024"
﻿Call for Expressions of Interest (EOI) for Consultants,Kathmandu,"on 21 Dec, 2023","29 Dec, 2023"
Communication Specialist,Kathmandu,"on 21 Dec, 2023","31 Dec, 2023"
﻿Business Development Officer,Lalitpur,"on 20 Dec, 2023","18 Jan, 2024"
﻿GRC Senior,Kathmandu,"on 20 Dec, 2023","18 Jan, 2024"
﻿कर्मचारी आवश्यकता सम्बन्धी सूचना,Bajhang,"on 20 Dec, 2023","27 Dec, 2023"
Teaching Assistant (TA),Surkhet,"on 20 Dec, 2023","19 Jan, 2024"
Cloud Network Engineer/Sr. Python Developer/.Net Developer/QA Engineer,Kathmandu,"on 20 Dec, 2023","19 Jan, 2024"
﻿Call for EOI for Vendor Enlistment in Roaster,Lalitpur,"on 19 Dec, 2023","18 Jan, 2024"
Business Associate,,"on 19 Dec, 2023","18 Jan, 2024"
Biopharmaceutical Software Analyst,Kathmandu,"on 19 Dec, 2023","18 Jan, 2024"
﻿REQUEST FOR PROPOSAL:  CONSULTANT TO LEAD–DEVELOPMENT OF IMPACT VIDEOS OF STRENGTHENING INCLUSIVE EDUCATION IN NEPAL (SIKAI) PROJECT,Lalitpur,"on 19 Dec, 2023","31 Dec, 2023"
﻿Request for Proposal for English Language Editor,Lalitpur,"on 18 Dec, 2023","27 Dec, 2023"
Security Analyst,Kathmandu,"on 18 Dec, 2023","17 Jan, 2024"
.Net Developer,Kathmandu,"on 18 Dec, 2023","17 Jan, 2024"
Software Engineer- DotNet,Kathmandu,"on 18 Dec, 2023","17 Jan, 2024"
Software Engineer- Frontend (Angular),Kathmandu,"on 18 Dec, 2023","17 Jan, 2024"
Software Engineer- Python,Kathmandu,"on 18 Dec, 2023","17 Jan, 2024"
USAID Early Grade Learning - Multiple Positions 4,Kathmandu,"on 16 Dec, 2023","02 Jan, 2024"
﻿Request for Expression of Interest (EOI) for NGO partner,Lalitpur,"on 18 Dec, 2023","07 Jan, 2024"
Call for Expression of Interest (EoI) for Vendor Enlistment in Roster,Lalitpur,"on 15 Dec, 2023","28 Dec, 2023"
School Account,Sindupalchowk,"on 15 Dec, 2023","12 Jan, 2024"
﻿Invitation for Bids: Construction of School Building & Toilet,Mahottari,"on 14 Dec, 2023","03 Jan, 2024"
Communication Manager,Lalitpur,"on 12 Dec, 2023","01 Jan, 2024"
Various Positions,Kathmandu,"on 11 Dec, 2023","10 Jan, 2024"
Invitation for Sealed Quotation for the Supply and Installation of Solar PV System,Lalitpur,"on 08 Dec, 2023","01 Jan, 2024"
Finance and Compliance Manager,Birendranagar Surkhet,"on 08 Dec, 2023","07 Jan, 2024"
Sales Executive,Kathmandu,"on 06 Dec, 2023","06 Jan, 2024"
"Research Assistant (Monitoring, Evaluation Learning, MEL)",Kathmandu,"on 05 Dec, 2023","31 Dec, 2023"
Business Development Officer,Kathmandu,"on 05 Dec, 2023","31 Dec, 2023"
Engineering Manager,Kathmandu,"on 01 Dec, 2023","31 Dec, 2023"
﻿Mid-Senior Software Engineer - Java,Kathmandu,"on 01 Dec, 2023","31 Dec, 2023"
Administration and Logistics Management Specialist,Lalitpur,"on 30 Nov, 2023","29 Dec, 2023"
QA Automation Engineer,Kathmandu,"on 29 Nov, 2023","28 Dec, 2023"
﻿Dot Net Developer,Kathmandu,"on 29 Nov, 2023","28 Dec, 2023"
﻿Quality Assurance (QA) Engineer,Kathmandu,"on 29 Nov, 2023","28 Dec, 2023"
﻿Mid- Senior level .Net developer,Kathmandu,"on 29 Nov, 2023","28 Dec, 2023"
Senior Accountant,"New Baneshwor, Kathmandu","on 28 Nov, 2023","27 Dec, 2023"
Junior Level (﻿Saathi Teachers),Tanahun,"on 28 Nov, 2023","28 Dec, 2023"
