title,location,Posted_On,Deadline
Health Staff﻿,Lalitpur,,
REQUEST FOR PROPOSAL: CONSULTANT TO LEAD – VALUE FOR MONEY ASSESSMENT FOR DISABILITY INCLUSION IN SIKAI PROJECT (﻿READVERTISED),Lalitpur,,
﻿Terms of Reference (ToR) Facilitator’s Training for Climate Advocacy Class Conduction,Rautahat,,
Social Care Worker/HR & Admin Assistant,Okhaldhunga,,
Senior Program Officer,Lalitpur,,
Director,Kathmandu,,
Mid-Senior Software Engineer - Java,Kathmandu,,
﻿Engineering Manager (Technical Manager - Full Stack .Net),Kathmandu,,
Mid- Senior level .Net developer,Kathmandu,,
QA Automation Engineer,Kathmandu,,
﻿Dot Net Developer (Data),Kathmandu,,
﻿Senior Software Engineer,Kathmandu,,
Sr. Software Engineer- ETL,Kathmandu,,
Java Developer,Kathmandu,,
English Translator/Interpreter - (Tharu/Nepali),"Dhangadhi, Kailali",,
Call for Applications to Expand FA Roster,Lalitpur,,
Full Stack Developer,Kathmandu,,
Multiple Positions,Kathmandu,,
परियोजना संयोजक (Project Coordinator),Siraha,,
EOI call for Consultant for Self-Defense Training,Siraha,,
﻿शिलबन्दी बोलपत्र आह्वान सम्बन्धी सुचना,Birgunj,,
Hydraulic Engineer,Lalitpur,,
Technical Support Executive,Kathmandu,,
"Monitoring, Compliance and Knowledge Management Specialist",Birendranagar Surkhet,,
﻿Re-Invitation of Application for Consulting Service,Lalitpur,,
﻿CALL FOR EXPRESSION OF INTEREST (EOI),Lalitpur,,
1. Project Coordinator/2. Project/ Field Officer/3. Admin and Finance Officer,Kapilvastu,,
Expression of Interest,Kathmandu,,
﻿Request For Proposal_Implement the Digital Marketing Plan,Lalitpur,,
Program Monitoring Evaluation and Learning Coordinator [Only for Female],Kathmandu,,
Request for Proposals on E-cooking Monitoring,Kathmandu,,
Various Positions,Gandaki Province,,
Teachers,Outside Nepal,,
Project Engineer/Architect,Lalitpur,,
.Net Developer,Lalitpur,,
﻿Terms of Reference (ToR)-Recruitment Process and Employee Outsourcing Agency,Lalitpur,,
﻿REQUEST FOR PROPOSAL,Kathmandu,,
﻿Research Officer,Kathmandu,,
﻿REQUEST FOR PROPOSAL,Lalitpur,,
Driver,Kathmandu,,
Payment Manager (English + Hindi/ Nepali),Kathmandu,,
﻿सूचि दर्ता गर्ने सम्बन्धी सूचना,Kathmandu,,
﻿Business Development Officer,Lalitpur,,
﻿GRC Senior,Kathmandu,,
Teaching Assistant (TA),Surkhet,,
Cloud Network Engineer/Sr. Python Developer/.Net Developer/QA Engineer,Kathmandu,,
﻿Call for EOI for Vendor Enlistment in Roaster,Lalitpur,,
Business Associate,,,
Biopharmaceutical Software Analyst,Kathmandu,,
Security Analyst,Kathmandu,,
.Net Developer,Kathmandu,,
Software Engineer- DotNet,Kathmandu,,
Software Engineer- Frontend (Angular),Kathmandu,,
Software Engineer- Python,Kathmandu,,
﻿Request for Expression of Interest (EOI) for NGO partner,Lalitpur,,
School Account,Sindupalchowk,,
﻿Invitation for Bids: Construction of School Building & Toilet,Mahottari,,
Various Positions,Kathmandu,,
Finance and Compliance Manager,Birendranagar Surkhet,,
Sales Executive,Kathmandu,,
Communication and Documentation Officer,Lalitpur,,
Health Staff﻿,Lalitpur,,
REQUEST FOR PROPOSAL: CONSULTANT TO LEAD – VALUE FOR MONEY ASSESSMENT FOR DISABILITY INCLUSION IN SIKAI PROJECT (﻿READVERTISED),Lalitpur,,
﻿Terms of Reference (ToR) Facilitator’s Training for Climate Advocacy Class Conduction,Rautahat,,
Social Care Worker/HR & Admin Assistant,Okhaldhunga,,
Senior Program Officer,Lalitpur,,
Director,Kathmandu,,
Mid-Senior Software Engineer - Java,Kathmandu,,
﻿Engineering Manager (Technical Manager - Full Stack .Net),Kathmandu,,
Mid- Senior level .Net developer,Kathmandu,,
QA Automation Engineer,Kathmandu,,
﻿Dot Net Developer (Data),Kathmandu,,
﻿Senior Software Engineer,Kathmandu,,
Sr. Software Engineer- ETL,Kathmandu,,
Java Developer,Kathmandu,,
English Translator/Interpreter - (Tharu/Nepali),"Dhangadhi, Kailali",,
Call for Applications to Expand FA Roster,Lalitpur,,
Full Stack Developer,Kathmandu,,
Multiple Positions,Kathmandu,,
परियोजना संयोजक (Project Coordinator),Siraha,,
EOI call for Consultant for Self-Defense Training,Siraha,,
﻿शिलबन्दी बोलपत्र आह्वान सम्बन्धी सुचना,Birgunj,,
Hydraulic Engineer,Lalitpur,,
Technical Support Executive,Kathmandu,,
"Monitoring, Compliance and Knowledge Management Specialist",Birendranagar Surkhet,,
﻿Re-Invitation of Application for Consulting Service,Lalitpur,,
﻿CALL FOR EXPRESSION OF INTEREST (EOI),Lalitpur,,
1. Project Coordinator/2. Project/ Field Officer/3. Admin and Finance Officer,Kapilvastu,,
Expression of Interest,Kathmandu,,
﻿Request For Proposal_Implement the Digital Marketing Plan,Lalitpur,,
Program Monitoring Evaluation and Learning Coordinator [Only for Female],Kathmandu,,
Request for Proposals on E-cooking Monitoring,Kathmandu,,
Various Positions,Gandaki Province,,
Teachers,Outside Nepal,,
Project Engineer/Architect,Lalitpur,,
.Net Developer,Lalitpur,,
﻿Terms of Reference (ToR)-Recruitment Process and Employee Outsourcing Agency,Lalitpur,,
﻿REQUEST FOR PROPOSAL,Kathmandu,,
﻿Research Officer,Kathmandu,,
﻿REQUEST FOR PROPOSAL,Lalitpur,,
Driver,Kathmandu,,
Payment Manager (English + Hindi/ Nepali),Kathmandu,,
﻿सूचि दर्ता गर्ने सम्बन्धी सूचना,Kathmandu,,
﻿Business Development Officer,Lalitpur,,
﻿GRC Senior,Kathmandu,,
Teaching Assistant (TA),Surkhet,,
Cloud Network Engineer/Sr. Python Developer/.Net Developer/QA Engineer,Kathmandu,,
﻿Call for EOI for Vendor Enlistment in Roaster,Lalitpur,,
Business Associate,,,
Biopharmaceutical Software Analyst,Kathmandu,,
Security Analyst,Kathmandu,,
.Net Developer,Kathmandu,,
Software Engineer- DotNet,Kathmandu,,
Software Engineer- Frontend (Angular),Kathmandu,,
Software Engineer- Python,Kathmandu,,
﻿Request for Expression of Interest (EOI) for NGO partner,Lalitpur,,
School Account,Sindupalchowk,,
﻿Invitation for Bids: Construction of School Building & Toilet,Mahottari,,
Various Positions,Kathmandu,,
Finance and Compliance Manager,Birendranagar Surkhet,,
Sales Executive,Kathmandu,,
Communication and Documentation Officer,Lalitpur,,
