title,location,Posted_On,Deadline
Various Positions,Lalitpur,"Job posted on 04 Dec, 2023","Apply before 18 Dec, 2023"
﻿﻿Travel Content Writers Wanted,Kathmandu,"Job posted on 13 Dec, 2023","Apply before 25 Dec, 2023"
﻿Communication Officer,Lalitpur,"Job posted on 13 Dec, 2023","Apply before 18 Dec, 2023"
Engineering Manager,Kathmandu,"Job posted on 06 Dec, 2023","Apply before 13 Dec, 2023"
Administration and Logistics Management Specialist,Lalitpur,"Job posted on 13 Dec, 2023","Apply before 26 Dec, 2023"
Junior Admin Officer (Female only),Lalitpur,"Job posted on 07 Dec, 2023","Apply before 17 Dec, 2023"
﻿Dot Net Developer,Kathmandu,"Job posted on 13 Dec, 2023","Apply before 27 Dec, 2023"
﻿Mid- Senior level .Net developer,Kathmandu,"Job posted on 12 Dec, 2023","Apply before 26 Dec, 2023"
Senior Accountant,"New Baneshwor, Kathmandu","Job posted on 10 Dec, 2023","Apply before 16 Dec, 2023"
Deputy Chief of Party (DCOP),Kathmandu,"Job posted on 12 Dec, 2023","Apply before 29 Dec, 2023"
﻿Sr. Software Engineer- ETL,Kathmandu,"Job posted on 01 Dec, 2023","Apply before 15 Dec, 2023"
﻿Senior Software Engineer,Kathmandu,"Job posted on 12 Dec, 2023","Apply before 10 Jan, 2024"
Video Game Player & Game Content Creator,Kathmandu,"Job posted on 12 Dec, 2023","Apply before 27 Dec, 2023"
cook,Kathmandu,"Job posted on 12 Dec, 2023","Apply before 18 Dec, 2023"
Market Representatives (MR)/ Office Assistant,Kathmandu,"Job posted on 12 Dec, 2023","Apply before 18 Dec, 2023"
Wait Staff,,"Job posted on 12 Dec, 2023","Apply before 19 Dec, 2023"
EOI call to Provide different Services,Lalitpur,"Job posted on 04 Dec, 2023","Apply before 18 Dec, 2023"
﻿Monitoring and Evaluation Officer,Lalitpur,"Job posted on 13 Dec, 2023","Apply before 12 Jan, 2024"
﻿﻿Travel Content Writers Wanted,Kathmandu,"Job posted on 23 Nov, 2023","Apply before 22 Dec, 2023"
Communication and Documentation Officer,Lalitpur,"Job posted on 21 Nov, 2023","Apply before 20 Dec, 2023"
Engineering Manager,Kathmandu,"Job posted on 13 Dec, 2023","Apply before 25 Dec, 2023"
Administration and Logistics Management Specialist,Lalitpur,"Job posted on 13 Dec, 2023","Apply before 18 Dec, 2023"
Junior Admin Officer (Female only),Lalitpur,"Job posted on 06 Dec, 2023","Apply before 13 Dec, 2023"
﻿Dot Net Developer,Kathmandu,"Job posted on 13 Dec, 2023","Apply before 26 Dec, 2023"
﻿Quality Assurance (QA) Engineer,Kathmandu,"Job posted on 07 Dec, 2023","Apply before 17 Dec, 2023"
Senior Accountant,"New Baneshwor, Kathmandu","Job posted on 13 Dec, 2023","Apply before 27 Dec, 2023"
Deputy Chief of Party (DCOP),Kathmandu,"Job posted on 12 Dec, 2023","Apply before 26 Dec, 2023"
﻿Sr. Software Engineer- ETL,Kathmandu,"Job posted on 10 Dec, 2023","Apply before 16 Dec, 2023"
﻿Senior Software Engineer,Kathmandu,"Job posted on 12 Dec, 2023","Apply before 29 Dec, 2023"
﻿Dot Net Developer (Data),Kathmandu,"Job posted on 01 Dec, 2023","Apply before 15 Dec, 2023"
Enrichment Coordinator- Children's Home,Birendranagar Surkhet,"Job posted on 12 Dec, 2023","Apply before 10 Jan, 2024"
"Translator, Interpreter, Bridge Engineer, Civil Engineer, Highway Engineer, QA/QC, Geologist",Terai Region,"Job posted on 12 Dec, 2023","Apply before 27 Dec, 2023"
USAID Early Grade Learning - Multiple Positions 3,,"Job posted on 12 Dec, 2023","Apply before 18 Dec, 2023"
